"Row Number",site_name,lho,bank_name,customer_name,city,state,country,zone,address,latitude,longitude,status,custom_xtranet_id,custom_bank_name,custom_bank_manager,custom_contact_number,custom_bank_branch_id,custom_branch_name,custom_branch_address,"Error Message"
,2,1,"The Faridkot Central Cooperative Bank Ltd",317,"Village Ratti Rori, Tehsil Faridkot, District Faridkot, Pin Code - 151203",10.130.0.0/28,255.255.255.240,10.130.0.0,10.130.0.1,10.130.0.1,10.130.0.14,10.130.0.15,8655871162,8991000924630715913U,NA,NA,NA,NA,9082115736,89918740400416157505,2120R502407250120,2,46171,0.58333333333333337,"Javed khan",8699149299,Dalvinder,7737500004,"Technical Support","Ramkishor Pawar",9300830078,"Abhishek Mehra",7470716184,"30.619452, 74.703039","The site_name field is required; The city field is required; The state field is required; The country field is required"
,3,2,"The Amritsar cooperative bank Ltd",145,"The Amritsar central Cooperative Bank LTD,Head office Amritsar inside hall gate Amritsar 143001",10.130.0.0/28,255.255.255.240,10.130.0.0,10.130.0.1,10.130.0.1,10.130.0.14,10.130.0.15,8655871162,8991000924630715913U,NA,NA,NA,NA,NA,NA,2120R502407250120,2,46133,0.64583333333333337,"Javed khan",8699149299,NA,NA,NA,,,NA,NA,NA,"The site_name field is required; The city field is required; The state field is required; The country field is required"
,4,3,"Beed district central cooperative bank",BD-0023,"Kunthephal, beed, maharashtra 414202",10.130.0.16/28,255.255.255.240,10.130.0.16,10.130.0.17,10.130.0.17,10.130.0.30,10.130.0.31,8655871126,8991000924630715947U,NA,NA,NA,NA,9082371323,89918740400387653276,2120R502407251368,2,46135,"4.00 pm","Abhishek Tiwari",9818252775,S.S.Kulkarni,8975218335,NA,"Ramkishor Pawar",9300830078,"Abhishek Mehra",7470716184,"18.905641, 74.97097","The site_name field is required; The city field is required; The state field is required; The country field is required"
,5,4,"The Amritsar Central Cooperative Bank Ltd., Amritsar",0126,"VPO Pakharpura Adda Jaintipura  143502",10.130.0.240/28,255.255.255.240,10.130.0.240,10.130.0.241,10.130.0.241,10.130.0.254,10.130.0.255,5754260092797,89919226034022963310,NA,NA,5755253548309,8991200050129200858,NA,NA,2121R502607230143,3,46246,0.73611111111111116,"Javed khan",8699149299,"manpreet singh",9855201268,NA,"Ramkishor Pawar",9300830078,NA,NA,"31.772138,75.106484","The site_name field is required; The city field is required; The state field is required; The country field is required"
,6,5,"The Amritsar Central Cooperative Bank Ltd., Amritsar",0145,"V.P.O. Guru ka bagh, Tehsil Ajnala Amritsar 143102",10.130.1.0/28,255.255.255.240,10.130.1.0,10.130.1.1,10.130.1.1,10.130.1.14,10.130.1.15,5754260092806,89919226034022963401,NA,NA,NA,NA,5753251460817,89918740407070430557,2121R502607230070,2,46247,0.66666666666666663,"Javed khan",8699149299,"harpreet singh","98037 57338",NA,"Ramkishor Pawar",9300830078,NA,NA,"31.781987 , 74.838817","The site_name field is required; The city field is required; The state field is required; The country field is required"
,7,6,"The Amritsar Central Cooperative Bank Ltd., Amritsar",0147,"Chogawan road opposite BSF Gate no.2 Ajnala Tehsil, Ajnala ,Dist Amritsar 143102",10.130.1.16/28,255.255.255.240,10.130.1.16,10.130.1.17,10.130.1.17,10.130.1.30,10.130.1.31,5754260092807,89919226034022963419,NA,NA,NA,NA,5753251460801,89918740407070432397,2121R502607230149,2,46247,0.75763888888888886,"Javed khan",8699149299,"manoj coop",8219737812,NA,"Ramkishor Pawar",9300830078,NA,NA,"31.838706 , 74.754559","The site_name field is required; The city field is required; The state field is required; The country field is required"
,8,7,"The Gurdaspur Central Cooperative Bank Ltd., Gurdaspur",0735,"Kahnuwan to Batala Road 10-12 km , Seikhwan Village, PIN 143518 (nr bus stand)",10.130.1.32/28,255.255.255.240,10.130.1.32,10.130.1.33,10.130.1.33,10.130.1.46,10.130.1.47,NA,NA,NA,NA,5755253548299,8991200050129200833,5753251460828,89918740407070428593,2121R502607230013,2,46246,0.77083333333333337,"Javed khan",8699149299,"manjinder singh",9876762552,NA,"Ramkishor Pawar",9300830078,NA,NA,"31.857104,  75.314486","The site_name field is required; The city field is required; The state field is required; The country field is required"
,9,8,"The Gurdaspur Central Cooperative Bank Ltd., Gurdaspur",736,"Gurdaspur to Kalanaur Road, focal point ,Bhikhariwal, PIN 143512",10.130.1.48/28,255.255.255.240,10.130.1.48,10.130.1.49,10.130.1.49,10.130.1.62,10.130.1.63,NA,NA,NA,NA,5755253548255,8991200050129200783,5753251460807,89918740407070432033,2121R502607230019,2,46247,0.60416666666666663,"Javed khan",8699149299,"Sattnam Waheguru",9888176576,NA,"Ramkishor Pawar",9300830078,NA,NA,"32.014041 , 75.255986","The site_name field is required; The city field is required; The state field is required; The country field is required"
,10,9,"The Hoshiarpur Central Cooperative Bank Ltd., Hoshiarpur",0821,"V.P.O. Dehana, Hoshiarpur, Punjab 144205",10.130.1.64/28,255.255.255.240,10.130.1.64,10.130.1.65,10.130.1.65,10.130.1.78,10.130.1.79,NA,NA,NA,NA,5755253548296,8991200050129200825,5753251460930,89918740407070430052,2121R502607230139,3,46248,0.57222222222222219,"Javed khan",8699149299,"Deepak Kumar",8847016717,NA,"Ramkishor Pawar",9300830078,NA,NA,"31.357153 , 75.895575","The site_name field is required; The city field is required; The state field is required; The country field is required"
,11,10,"Patiala central cooperative bank Ltd. Patiala",1645,"VPO. near  police station, dhandrala dhindsa, T-Nabha -147201",10.130.1.96/28,255.255.255.240,10.130.1.96,10.130.1.97,10.130.1.97,10.130.1.110,10.130.1.111,5754260092803,89919226034022963377,NA,NA,5755253548280,8991200050129200791,NA,NA,2121R502607230034,2,46247,0.70833333333333337,"Javed khan",8699149299,"Karanbir Singh",9041744920,NA,"Ramkishor Pawar",9300830078,NA,NA,"30.496168 , 76.093273","The site_name field is required; The city field is required; The state field is required; The country field is required"
